Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
21,Celta Vigo,es La Liga,30,38,55,350,133,38,9.21,3.5,0.14,0.36,17,13,7,7,50.4,44.9,0.13,+4.6,+3.1
22,Chelsea,eng Premier League,27,38,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5
23,Crotone,it Serie A,31,38,44,353,111,31.4,9.29,2.92,0.1,0.32,18.8,15,9,9,40.4,33.4,0.1,+3.6,+1.6
24,Crystal Palace,eng Premier League,24,38,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,18,3,4,34.1,31,0.09,+4.9,+5.0
25,Dijon,fr Ligue 1,33,38,25,345,87,25.2,9.08,2.29,0.06,0.25,18.2,9,3,5,33.7,29.9,0.09,-8.7,-7.9
26,Dortmund,de Bundesliga,26,34,74,488,184,37.7,14.35,5.41,0.15,0.39,16.7,14,3,7,66.2,60.4,0.12,+7.8,+10.6
27,Eibar,es La Liga,30,38,29,443,127,28.7,11.66,3.34,0.06,0.2,18.1,14,4,9,45.2,38.3,0.09,-16.2,-13.3
28,Eint Frankfurt,de Bundesliga,25,34,63,442,162,36.7,13,4.76,0.12,0.34,16.3,12,8,8,58.5,52.2,0.12,+4.5,+2.8
29,Elche,es La Liga,30,38,33,265,86,32.5,6.97,2.26,0.12,0.36,16.8,12,2,3,29.9,27.5,0.11,+3.1,+3.5
30,Everton,eng Premier League,29,38,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,15,4,5,45.7,41.9,0.11,-0.7,-0.9
31,Fiorentina,it Serie A,30,38,44,366,115,31.4,9.63,3.03,0.1,0.33,16.9,14,6,6,44.9,40.2,0.11,-0.9,-2.2
32,Freiburg,de Bundesliga,24,34,51,383,140,36.6,11.26,4.12,0.12,0.32,17.3,17,6,6,45.5,40.9,0.11,+5.5,+4.1
33,Fulham,eng Premier League,28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9
34,Genoa,it Serie A,34,38,46,338,120,35.5,8.89,3.16,0.12,0.35,18,11,4,4,38.8,35.6,0.11,+7.2,+6.4
35,Getafe,es La Liga,31,38,27,355,97,27.3,9.34,2.55,0.07,0.25,18.8,24,3,5,34.4,30.5,0.09,-7.4,-6.5
36,Granada,es La Liga,34,38,47,354,121,34.2,9.32,3.18,0.12,0.36,19.1,21,3,5,41.1,37.3,0.11,+5.9,+6.7
37,Hellas Verona,it Serie A,32,38,38,400,118,29.5,10.53,3.11,0.09,0.3,16.6,13,3,3,46,43.6,0.11,-8,-8.6
38,Hertha BSC,de Bundesliga,32,34,40,377,142,37.7,11.09,4.18,0.1,0.25,18.4,12,4,6,41.9,37.2,0.1,-1.9,-1.2
39,Hoffenheim,de Bundesliga,30,34,51,424,149,35.1,12.47,4.38,0.11,0.31,17.5,20,5,6,51.9,47.3,0.11,-0.9,-1.3
40,Huesca,es La Liga,27,38,32,404,130,32.2,10.63,3.42,0.07,0.22,18,13,3,4,38.9,36.1,0.09,-6.9,-7.1
41,Inter,it Serie A,25,38,84,543,194,35.7,14.29,5.11,0.14,0.39,16.3,17,8,9,74.2,67.2,0.13,+9.8,+8.8
42,Juventus,it Serie A,30,38,76,585,206,35.2,15.39,5.42,0.12,0.33,16.8,23,8,10,74.4,67,0.12,+1.6,+1.0
43,Köln,de Bundesliga,28,34,33,354,103,29.1,10.41,3.03,0.08,0.28,17.2,9,4,6,40.5,35.9,0.1,-7.5,-6.9
44,Lazio,it Serie A,30,38,59,514,175,34,13.53,4.61,0.1,0.3,17.3,14,6,10,58.2,50.7,0.1,+0.8,+2.3
45,Leeds United,eng Premier League,23,38,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,+4.4,+3.5
46,Leicester City,eng Premier League,27,38,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,10,12,55.8,46.3,0.1,+8.2,+7.7
47,Lens,fr Ligue 1,27,38,53,434,133,30.6,11.42,3.5,0.1,0.32,18.5,22,10,12,56.4,47.3,0.11,-3.4,-4.3
48,Levante,es La Liga,29,38,45,376,125,33.2,9.89,3.29,0.11,0.34,18.2,10,3,6,40.4,35.7,0.1,+4.6,+6.3
49,Leverkusen,de Bundesliga,30,34,52,440,164,37.3,12.94,4.82,0.11,0.3,17.9,12,3,3,46.3,44,0.1,+5.7,+5.0
50,Lille,fr Ligue 1,21,38,62,481,178,37,12.66,4.68,0.12,0.32,19.6,22,5,5,48.5,44.5,0.09,+13.5,+12.5
51,Liverpool,eng Premier League,28,38,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,22,6,6,67.5,62.9,0.11,-2.5,-3.9
52,Lorient,fr Ligue 1,27,38,49,416,130,31.3,10.95,3.42,0.1,0.31,20.2,30,9,10,48.6,41.4,0.1,+0.4,-1.4
53,Lyon,fr Ligue 1,29,38,76,601,222,36.9,15.82,5.84,0.11,0.29,17.2,23,11,11,81.4,73,0.12,-5.4,-8
54,M'Gladbach,de Bundesliga,23,34,63,443,165,37.2,13.03,4.85,0.12,0.32,17.4,12,10,11,54.9,46.5,0.11,+8.1,+6.5
55,Mainz 05,de Bundesliga,31,34,39,374,134,35.8,11,3.94,0.09,0.25,17.4,10,5,5,49.9,46,0.13,-10.9,-12
56,Manchester City,eng Premier League,24,38,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,21,5,9,68.2,61.2,0.11,+13.8,+15.8
57,Manchester Utd,eng Premier League,29,38,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,21,10,11,60.1,51.4,0.1,+9.9,+8.6
58,Marseille,fr Ligue 1,31,38,53,374,128,34.2,9.84,3.37,0.13,0.38,18.1,17,4,7,46.6,41.1,0.11,+6.4,+7.9
59,Metz,fr Ligue 1,27,38,42,425,127,29.9,11.18,3.34,0.08,0.28,20.6,31,7,11,44.1,35.8,0.08,-2.1,-0.8
60,Milan,it Serie A,29,38,72,537,184,34.3,14.13,4.84,0.11,0.31,18.4,30,15,20,70.7,56,0.11,+1.3,+1.0
61,Monaco,fr Ligue 1,30,38,76,471,160,34,12.39,4.21,0.14,0.4,17.2,21,12,15,68.7,56.9,0.12,+7.3,+7.1
62,Montpellier,fr Ligue 1,25,38,60,459,168,36.6,12.08,4.42,0.13,0.35,17.1,27,2,5,51.9,48.1,0.11,+8.1,+9.9
63,Nantes,fr Ligue 1,25,38,47,402,120,29.9,10.58,3.16,0.1,0.33,18.9,17,8,9,49,42.2,0.11,-2,-3.2
64,Napoli,it Serie A,25,38,83,637,217,34.1,16.76,5.71,0.12,0.35,18.1,25,7,8,67.7,61.4,0.1,+15.3,+14.6
65,Newcastle Utd,eng Premier League,27,38,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,25,6,7,43.4,37.8,0.1,+0.6,+0.2
66,Nice,fr Ligue 1,31,38,49,402,138,34.3,10.58,3.63,0.1,0.3,17.8,17,7,7,48,42.7,0.11,+1.0,-0.7
67,Nîmes,fr Ligue 1,33,38,40,384,131,34.1,10.11,3.45,0.09,0.25,18.6,17,7,8,43.3,37,0.1,-3.3,-4
68,Osasuna,es La Liga,28,38,36,368,114,31,9.68,3,0.08,0.27,18.8,7,5,6,38.7,34.7,0.1,-2.7,-3.7
69,Paris S-G,fr Ligue 1,33,38,84,557,200,35.9,14.66,5.26,0.13,0.36,17,33,12,13,80.1,70.1,0.13,+3.9,+1.9
70,Parma,it Serie A,42,38,39,392,123,31.4,10.32,3.24,0.09,0.28,18.1,20,5,5,42.5,38.6,0.1,-3.5,-4.6
71,RB Leipzig,de Bundesliga,25,34,59,533,189,35.5,15.68,5.56,0.1,0.27,17.4,19,8,10,64.4,56.7,0.11,-5.4,-5.7
72,Real Madrid,es La Liga,30,38,64,544,167,30.7,14.32,4.39,0.11,0.37,17.7,17,3,3,61.5,59.2,0.11,+2.5,+1.8
73,Real Sociedad,es La Liga,30,38,58,417,139,33.3,10.97,3.66,0.12,0.35,16.5,20,9,12,60.7,51.5,0.13,-2.7,-2.5
74,Reims,fr Ligue 1,29,38,39,358,122,34.1,9.42,3.21,0.09,0.28,19.4,15,5,5,32.7,28.9,0.08,+6.3,+5.1
75,Rennes,fr Ligue 1,32,38,50,510,159,31.2,13.42,4.18,0.09,0.3,18.3,32,3,3,47.8,45.4,0.09,+2.2,+1.6
76,Roma,it Serie A,31,38,67,537,191,35.6,14.13,5.03,0.11,0.31,17.2,15,7,8,67.2,61,0.12,-0.2,-1
77,Saint-Étienne,fr Ligue 1,40,38,40,432,140,32.4,11.37,3.68,0.08,0.24,18.2,17,6,9,48.7,41.8,0.1,-8.7,-7.8
78,Sampdoria,it Serie A,27,38,52,422,134,31.8,11.11,3.53,0.11,0.35,17.5,15,5,6,45.4,41.1,0.1,+6.6,+5.9
79,Sassuolo,it Serie A,28,38,61,516,164,31.8,13.58,4.32,0.09,0.29,18.7,25,13,14,58.4,47.7,0.09,+2.6,+0.3
80,Schalke 04,de Bundesliga,42,34,24,301,81,26.9,8.85,2.38,0.08,0.3,18.4,11,0,3,28.7,26.3,0.09,-4.7,-2.3
81,Sevilla,es La Liga,26,38,52,454,135,29.7,11.95,3.55,0.1,0.34,17.2,15,6,7,54.4,48.9,0.11,-2.4,-2.9
82,Sheffield Utd,eng Premier League,27,38,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5
83,Southampton,eng Premier League,29,38,47,418,157,37.6,11,4.13,0.1,0.27,18.6,20,5,6,41.2,36.6,0.09,+5.8,+5.4
84,Spezia,it Serie A,35,38,52,382,130,34,10.05,3.42,0.13,0.37,16.8,10,4,5,46.6,42.7,0.12,+5.4,+5.3
85,Strasbourg,fr Ligue 1,26,38,49,419,129,30.8,11.03,3.39,0.09,0.3,18.7,17,10,12,52.8,43.4,0.11,-3.8,-4.4
86,Stuttgart,de Bundesliga,29,34,54,448,150,33.5,13.18,4.41,0.11,0.32,17.7,12,6,8,51.4,45.1,0.1,+2.6,+2.9
87,Torino,it Serie A,29,38,49,457,144,31.5,12.03,3.79,0.1,0.31,17.5,40,5,6,50,45.3,0.1,-1,-1.3
88,Tottenham,eng Premier League,24,38,66,438,167,38.1,11.53,4.39,0.14,0.37,18,35,5,5,53.1,49.2,0.12,+12.9,+11.8
89,Udinese,it Serie A,33,38,40,410,125,30.5,10.79,3.29,0.09,0.29,18.1,13,4,4,45.7,42.9,0.11,-5.7,-6.9
90,Union Berlin,de Bundesliga,27,34,50,391,132,33.8,11.5,3.88,0.12,0.34,17.3,8,5,7,46.9,41.3,0.11,+3.1,+3.7
91,Valencia,es La Liga,30,38,48,383,129,33.7,10.08,3.39,0.1,0.31,20.1,32,8,10,42.6,34.8,0.09,+5.4,+5.2
92,Valladolid,es La Liga,32,38,34,359,110,30.6,9.45,2.89,0.08,0.25,18.7,25,7,8,40.1,33.8,0.1,-6.1,-6.8
93,Villarreal,es La Liga,29,38,57,392,146,37.2,10.32,3.84,0.11,0.31,17,13,12,13,56.4,46.4,0.12,+0.6,-1.4
94,Werder Bremen,de Bundesliga,27,34,35,356,120,33.7,10.47,3.53,0.08,0.25,19,14,5,5,32.9,29,0.08,+2.1,+1.0
95,West Brom,eng Premier League,30,38,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7
96,West Ham,eng Premier League,24,38,60,464,158,34.1,12.21,4.16,0.13,0.37,16.1,17,2,4,55.4,52.1,0.12,+4.6,+5.9
97,Wolfsburg,de Bundesliga,26,34,57,475,164,34.5,13.97,4.82,0.12,0.34,18.1,14,2,3,49,46.9,0.1,+8.0,+8.1
98,Wolves,eng Premier League,27,38,34,459,149,32.5,12.08,3.92,0.07,0.2,18.5,18,4,4,36.5,33.4,0.08,-2.5,-3.4
